,set_num,name,year,theme_id,num_parts,price_mean_N,price_min_N,price_max_N,set_qty_N,currency_N
94,10022-1,"Santa Fe Cars - Set II (dining, observation, or sleeping car)",2002,237,410,656.9708,450.0000,947.2012,10,USD
95,10023-1,Master Builder Set,2002,324,111,197.5563,197.5563,197.5563,2,USD
96,10024-1,Red Baron,2002,673,669,452.4073,296.0004,550.0000,10,USD
97,10025-1,Santa Fe Cars - Set I (mail or baggage car),2002,237,325,346.7847,250.0000,473.6006,27,USD
98,10026-1,Naboo Starfighter - UCS,2002,171,188,750.8637,649.9900,917.6012,3,USD
99,10027-1,Train Engine Shed,2003,239,670,621.0205,500.0000,710.4009,10,USD
100,10029-1,Lunar Lander,2003,387,469,470.0810,325.0000,970.4832,9,USD
101,10030-1,Imperial Star Destroyer - UCS,2002,171,3115,1882.8103,929.7900,3437.2682,14,USD
102,10036-1,Pizza To Go,2002,75,151,131.1261,100.0000,200.0963,7,USD
103,10037-1,Breezeway Cafe,2002,75,195,178.2211,125.0000,300.0000,9,USD
104,10039-1,Black Falcon's Fortress,2002,187,431,571.0004,550.0000,592.0008,2,USD
105,10040-1,Black Seas Barracuda,2002,147,916,1885.8607,1657.6021,1999.9900,3,USD
106,10041-1,Main Street,2003,85,639,288.1952,258.0412,342.1250,7,USD
107,10042-1,American Flag,2003,206,35,17.8760,9.4205,37.4849,14,USD
108,10043-1,2x2 Electrical Plate,2002,254,1,22.0000,22.0000,22.0000,1,USD
109,10044-1,Windows and Doors,2002,254,44,13.9358,8.3368,28.1588,7,USD
110,10045-1,Pillars and Beams,2002,254,13,48.0881,46.1761,50.0000,3,USD
111,10046-1,Brown Tiles,2002,254,100,52.0000,52.0000,52.0000,10,USD
112,10047-1,Light Gray Arches,2002,254,36,12.0373,5.9500,25.0937,29,USD
113,10048-1,Small Wheels and Axles,2002,254,61,17.8367,14.2080,21.3120,3,USD
114,10049-1,Large Wheels and Axles,2002,254,31,13.7712,9.8800,17.6623,2,USD
115,10050-1,Gray Fences,2002,254,34,25.2596,19.9900,35.5082,4,USD
116,10051-1,Transparent Bricks,2002,254,50,21.4487,11.5125,45.8903,10,USD
117,10052-1,Intelligent Locomotive (Explore),2003,634,5,0.0000,0.0000,0.0000,0,USD
118,10053-1,Black Slopes 33,2003,254,44,13.0000,13.0000,13.0000,3,USD
119,10054-1,Black Slopes 33 3 x 2 and 3 x 4,2003,254,68,18.9322,18.9322,18.9322,1,USD
120,10055-1,Black Slopes 33 3 x 1 and 3 x 3,2003,254,50,0.0000,0.0000,0.0000,0,USD
121,10056-1,White Plates 2 x n,2002,254,56,15.1060,8.9000,21.3120,3,USD
122,10057-1,Black Plates 2 x n,2002,254,56,14.5000,14.5000,14.5000,1,USD
123,10058-1,Red Plates 2 x n,2002,254,56,9.9900,9.9900,9.9900,1,USD
124,10059-1,Dark Green Plates 2 x n,2002,254,56,0.0000,0.0000,0.0000,0,USD
125,10060-1,Light Gray Plates 2 x n,2002,254,56,16.3126,12.9021,19.7230,2,USD
126,10061-1,Black Plates 1 x n,2002,254,84,0.0000,0.0000,0.0000,0,USD
127,10062-1,Red Plates 1 x n,2002,254,84,16.5138,7.0000,26.0276,2,USD
128,10063-1,Dark Green Plates 1 x n,2002,254,84,11.7979,8.0000,25.5897,10,USD
129,10064-1,Light Gray Plates 1 x n,2002,254,84,21.9120,16.7727,29.9900,11,USD
130,10065-1,White Plates 1 x n,2002,254,84,10.8530,8.9000,12.8059,3,USD
131,10066-1,Castle Accessories,2002,255,41,28.2000,25.0000,30.0000,6,USD
132,10067-1,Mini-Fig Headgear,2002,254,53,22.4320,20.0000,24.8640,2,USD
133,10068-1,Santa Claus,2002,227,39,10.9981,5.0000,23.2013,12,USD
134,10069-1,Christmas Tree,2002,227,33,20.2031,7.4925,100.0000,27,USD
135,10070-1,Reindeer,2002,227,26,21.4204,7.0000,100.0000,21,USD
136,10071-1,Mr. Bunny,2003,229,25,12.2943,4.7360,35.5082,34,USD
137,10072-1,TECHNIC Beams,2003,256,56,25.0000,25.0000,25.0000,4,USD
138,10073-1,Bushes,2003,256,130,17.6622,8.9514,33.0551,17,USD
139,10074-1,Cross Axles,2003,256,68,30.3915,19.9900,40.7929,2,USD
140,10075-1,Spider-Man Action Pack,2002,706,25,236.6770,190.0000,330.0309,4,USD
141,10076-1,TECHNIC Gear Wheels,2002,256,40,0.0000,0.0000,0.0000,0,USD
142,10077-1,TECHNIC Motor,2003,256,55,88.1100,88.1100,88.1100,2,USD
143,10078-1,Train Connection Wire,2003,257,1,71.6389,57.6267,86.2500,5,USD
144,10079-1,Snowman,2003,227,42,20.6795,6.0686,100.0000,18,USD
145,10080-1,Angel,2003,227,33,22.7887,15.0000,35.5082,11,USD
146,10081-1,Birthday Pack Heart,2004,500,70,7.9500,7.9500,7.9500,5,USD
147,10082-1,Birthday Pack Daisy,2004,500,70,0.0000,0.0000,0.0000,0,USD
148,10083-1,Birthday Pack Star,2004,500,70,0.0000,0.0000,0.0000,0,USD
149,10090-1,Turkey,2003,231,54,20.4024,9.9900,47.9990,10,USD
150,100STORES-1,100 LEGO Stores North America,2019,408,5,0.0,0.0,0.0,0.0,none
151,10106-1,Snowflake,2006,227,107,39.9950,29.9900,50.0000,2,USD
152,101-1,4.5V Battery Case,1969,243,1,41.4401,35.5200,47.3601,2,USD
153,1011-1,Number/Symbol Blocks,1976,516,100,0.0000,0.0000,0.0000,0,USD
154,10111-1,Foliferous Tree,2001,254,10,28.5950,24.5000,35.2500,5,USD
155,10112-1,Bush,2001,254,25,25.5173,25.5173,25.5173,1,USD
156,10113-1,Cypress Trees,2001,254,5,181.8657,145.6171,200.0000,3,USD
157,10114-1,2 x 2 Sand Red Roof Tiles,2001,254,100,20.0000,20.0000,20.0000,5,USD
158,10115-1,Jumper Bricks,2001,254,80,21.7300,14.1488,38.5168,4,USD
159,10116-1,Accessories Heart,2004,500,50,17.3133,7.9500,27.5000,14,USD
160,10117-1,Accessories Daisy,2004,500,50,15.8803,5.3280,27.5000,9,USD
161,10118-1,Accessories Star,2004,500,50,28.3884,9.9500,55.4429,18,USD
162,101-2,Imagination Set 1,1971,366,298,0.0000,0.0000,0.0000,0,USD
163,10121-1,NBA Basketball Teams,2003,459,16,103.6113,65.0000,138.0000,18,USD
164,10123-1,Cloud City,2003,171,707,1788.0882,1422.3341,2130.0188,4,USD
165,10124-1,Wright Flyer,2003,673,663,454.8177,354.0165,509.2249,6,USD
166,10127-1,NHL Action Set with Stickers,2003,461,61,97.0200,97.0200,97.0200,2,USD
167,10128-1,Train Level Crossing,2003,239,326,242.9286,206.8726,291.2341,7,USD
168,10129-1,Rebel Snowspeeder - UCS,2003,171,1457,1191.5794,520.0000,1980.1854,14,USD
169,101-3,4.5V Battery Case,1966,243,1,0.0000,0.0000,0.0000,0,USD
170,1013-1,Numbers (6 Symbols),1985,516,0,0.0000,0.0000,0.0000,0,USD
171,10131-1,TIE Fighter Collection,2004,171,688,538.8168,278.2404,1456.1706,10,USD
172,10132-1,Motorized Hogwarts Express,2004,246,712,1024.5067,682.7204,1300.0000,5,USD
173,10133-1,Burlington Northern Santa Fe Locomotive,2004,236,409,582.9316,350.0000,2131.2028,24,USD
174,10134-1,Y-wing Attack Starfighter - UCS,2004,171,1490,1094.6998,449.9900,2559.8984,22,USD
175,10135-1,Clikits Holiday Decoration Kit,2004,500,175,0.0000,0.0000,0.0000,0,USD
176,10143-1,Death Star II,2005,171,3460,2726.5943,1893.2184,3585.6627,12,USD
177,10144-1,Sandcrawler,2005,171,1680,482.1298,290.0000,1452.5302,43,USD
178,10145-1,Assorted Light Gray Bricks,2004,254,124,28.9833,27.9900,30.3431,12,USD
179,10146-1,Assorted Dark Gray Bricks,2004,254,62,29.0080,29.0080,29.0080,1,USD
180,10147-1,Assorted Brown Bricks,2004,254,62,0.0000,0.0000,0.0000,0,USD
181,10148-1,Assorted Light Gray Plates,2004,254,84,24.4008,13.9900,44.2225,4,USD
182,10149-1,Assorted Dark Gray Plates,2004,254,42,0.0000,0.0000,0.0000,0,USD
183,10150-1,Assorted Brown Plates,2004,254,42,25.5240,25.0000,26.0480,18,USD
184,10151-1,Hot Rod,2004,278,421,240.3120,224.9700,275.0000,6,USD
185,10152-1,Maersk Sealand Container Ship 2004 Edition,2004,673,988,272.0368,175.0000,450.0000,16,USD
186,10152-2,Maersk Sealand Container Ship 2005 Edition,2005,673,988,302.6006,258.0412,354.0165,9,USD
187,10152-3,Maersk Line Container Ship 2006 Edition,2006,673,988,292.0320,249.9900,318.2656,3,USD
188,10153-1,Electric Train Motor 9V (My Own Train),2002,244,3,117.6363,88.5340,157.8881,34,USD
189,10155-1,Maersk Line Container Ship 2010 Edition,2010,673,990,266.2158,200.0000,436.8512,33,USD
190,10156-1,LEGO Truck,2004,85,104,66.1823,48.0000,118.4002,26,USD
191,10157-1,High Speed Train Locomotive,2004,239,143,171.5364,159.8402,189.4284,11,USD
192,10158-1,High Speed Train Car,2004,239,152,197.6719,149.9900,250.0000,17,USD
193,10159-1,City Airport,2004,53,914,640.8652,497.2806,873.7024,4,USD
194,10159-2,City Airport (Full Size Image Box),2004,68,914,399.3417,300.0000,499.9500,4,USD
195,10160-1,Black Ridge Roof Tiles,2004,254,48,42.0321,42.0321,42.0321,2,USD
196,10161-1,Black Roof Tiles,2004,254,76,14.9900,14.9900,14.9900,1,USD
197,10162-1,Red Ridge Tiles,2004,254,48,30.3121,11.5000,55.5664,5,USD
198,10163-1,Red Roof Tiles,2004,254,76,23.8699,23.8699,23.8699,2,USD
199,10165-1,Elf Boy,2004,227,27,15.4889,3.5000,100.0000,50,USD
200,10166-1,Elf Girl,2004,227,31,32.6128,11.5125,100.0000,11,USD
201,10167-1,Brickmaster Kit (with Digital Designer CD),2004,301,182,25.1629,18.0000,33.8157,3,USD
202,10168-1,Mrs. Bunny,2005,229,64,18.6566,8.8800,47.8255,15,USD
203,10169-1,Chicken & Chicks,2005,229,60,12.6473,8.9500,28.5232,29,USD
204,10170-1,TTX Intermodal Double-Stack Car,2005,236,365,273.0058,197.1100,473.6006,22,USD
205,10173-1,Holiday Train,2006,673,969,649.4585,417.2180,1157.9293,49,USD
206,10174-1,Imperial AT-ST - UCS,2006,171,1069,546.1728,399.0000,760.0000,13,USD
207,10175-1,Vader's TIE Advanced - UCS,2006,171,1212,1294.7639,1096.6751,1775.9952,8,USD
208,10176-1,Royal King's Castle,2006,197,877,519.9950,399.9900,640.0000,2,USD
209,10177-1,Boeing 787 Dreamliner,2006,673,1196,927.0557,640.0000,1184.0015,12,USD
210,10178-1,Motorized Walking AT-AT,2007,171,1137,702.6342,528.9845,998.9800,14,USD
211,10179-1,Millennium Falcon - UCS,2007,171,5195,3714.9099,1500.0000,8000.0000,40,USD
212,10181-1,Eiffel Tower 1:300,2007,673,3428,2291.6114,1300.0000,4143.9935,7,USD
213,10182-1,Cafe Corner,2007,155,2058,2927.0990,1365.0266,4736.0061,14,USD
214,10183-1,Hobby Train,2007,397,1080,654.2508,320.0000,1591.3279,13,USD
215,10184-1,Town Plan,2008,104,2017,571.5736,299.9900,1776.0023,38,USD
216,10185-1,Green Grocer,2008,155,2358,1480.3085,1025.0000,4144.0054,47,USD
217,10186-1,General Grievous,2008,171,1084,354.7965,285.0000,591.9937,13,USD
218,10187-1,Volkswagen Beetle (VW Beetle),2008,673,1626,977.5654,374.0000,2190.3910,27,USD
219,10188-1,Death Star,2008,171,3814,647.9057,367.7087,3999.0000,231,USD
220,10189-1,Taj Mahal,2008,673,5922,2317.2446,888.0011,6866.0249,26,USD
221,10190-1,Market Street,2007,155,1250,2305.4614,1800.0000,2754.9470,8,USD
222,10191-1,Star Justice,2008,397,892,130.3594,100.6401,175.0000,17,USD
223,10192-1,Space Skulls,2008,397,957,94.8900,48.0000,132.8011,29,USD
224,10193-1,Medieval Market Village,2009,193,1619,361.5885,219.4199,649.4828,53,USD
225,10194-1,Emerald Night,2009,673,1089,780.2241,580.5927,1456.1633,45,USD
226,10195-1,Republic Dropship with AT-OT,2009,171,1757,1439.9051,985.0000,2184.2559,18,USD
227,10196-1,Grand Carousel,2009,673,3261,3310.0353,1400.0000,7104.0092,29,USD
228,10197-1,Fire Brigade,2009,155,2236,622.0346,349.0000,1920.8907,117,USD
229,10198-1,Tantive IV,2009,171,1408,438.2442,239.0000,947.2012,61,USD
230,10199-1,Winter Toy Shop,2009,227,815,212.9069,109.2128,592.0008,110,USD
231,10-2,Universal Building Set,1976,469,129,0.0000,0.0000,0.0000,0,USD
232,10200-1,Custom Car Garage,2008,397,893,161.7916,130.2402,268.0000,20,USD
233,1020-1,Basic Bricks,1985,516,86,0.0000,0.0000,0.0000,0,USD
234,10201-1,Takutanuva,2003,347,1,0.0000,0.0000,0.0000,0,USD
235,10202-1,Ultimate Dume (Limited Edition with Exclusive Mask Of Power),2004,347,3,265.3831,236.2434,323.2241,4,USD
236,10202-2,Ultimate Dume,2004,347,0,226.9005,226.9005,226.9005,3,USD
237,10203-1,Voporak,2005,347,0,291.8093,291.8093,291.8093,2,USD
238,10204-1,Vezon & Kardas,2006,347,0,0.0000,0.0000,0.0000,0,USD
239,10205-1,Locomotive,2002,238,234,306.1372,224.8419,476.7158,8,USD
240,102-1,4.5V Motor Set,1968,243,24,254.1521,254.1521,254.1521,2,USD
241,10210-1,Imperial Flagship,2010,153,1667,1085.6942,767.9695,1775.9952,31,USD
242,1021-1,Basic Vehicles,1985,516,93,0.0000,0.0000,0.0000,0,USD
243,10211-1,Grand Emporium,2010,155,2186,569.7032,376.0400,1920.8907,150,USD
244,10212-1,Imperial Shuttle,2010,171,2503,937.7747,603.8408,1499.9800,35,USD
245,10213-1,Shuttle Adventure,2010,673,1203,554.9248,336.7192,910.1066,11,USD
246,10213sup-1,Supplemental Pack for Shuttle Adventure Set 10213,2010,443,29,0.0000,0.0000,0.0000,0,USD
247,10214-1,Tower Bridge,2010,673,4295,402.0719,238.6881,1280.5682,296,USD
248,10215-1,Obi-Wan's Jedi Starfighter,2010,171,676,315.5726,221.3351,598.4861,40,USD
249,10216-1,Winter Village Bakery,2010,227,687,315.6229,220.0000,592.0008,54,USD
250,10217-1,Diagon Alley,2011,246,2031,630.7636,499.9900,960.4454,57,USD
251,10218-1,Pet Shop,2011,155,2034,337.5388,201.4500,1184.0015,473,USD
252,10219-1,Maersk Container Train,2011,673,1233,490.6087,354.8067,710.4009,65,USD
253,10220-1,Volkswagen T1 Camper Van,2011,673,1333,170.4790,75.5924,1776.0023,1344,USD
254,1022-1,Mini Basic Bricks,1985,516,30,0.0000,0.0000,0.0000,0,USD
255,10221-1,Super Star Destroyer,2011,171,3151,1258.8512,750.0000,4736.0061,99,USD
256,10222-1,Winter Village Post Office,2011,227,821,473.0749,263.3038,828.8011,19,USD
257,10223-1,Kingdoms Joust,2012,196,1575,296.7951,178.0484,532.7936,44,USD
258,10224-1,Town Hall,2012,155,2772,924.4901,631.2100,1539.2020,108,USD
259,10225-1,R2-D2,2012,171,2126,579.7730,335.4536,1799.0000,116,USD
260,10226-1,Sopwith Camel,2012,673,879,217.6539,149.9369,350.0000,103,USD
261,10227-1,B-wing Starfighter,2012,171,1487,545.1576,350.0000,1999.0000,81,USD
262,10228-1,Haunted House,2012,558,2063,565.8020,358.6773,1539.1901,116,USD
263,10229-1,Winter Village Cottage,2012,227,1491,338.4202,216.7546,473.6006,44,USD
264,102-3,Super Value Set,1969,411,102,0.0000,0.0000,0.0000,0,USD
265,10230-1,Mini Modulars,2012,156,1356,231.0572,150.0000,592.0008,80,USD
266,1023-1,Red Baseplate,1985,516,1,0.0000,0.0000,0.0000,0,USD
267,10231-1,Shuttle Expedition,2011,673,1230,799.1281,471.4068,2368.0031,19,USD
268,10232-1,Palace Cinema,2013,155,2194,371.0386,210.0000,2368.0031,277,USD
269,10233-1,Horizon Express,2013,673,1351,338.2631,190.0000,1835.2024,151,USD
270,10234-1,Sydney Opera House,2013,673,2989,536.2731,305.0000,2367.8847,125,USD
271,10235-1,Winter Village Market,2013,227,1261,226.7281,115.7200,590.8168,178,USD
272,10236-1,Ewok Village,2013,171,1990,494.5410,329.0350,2499.0000,179,USD
273,10237-1,The Tower of Orthanc,2013,566,2362,504.9651,309.6494,1664.7720,108,USD
274,10240-1,Red Five X-Wing Starfighter,2013,171,1558,471.9322,285.3875,1749.0000,112,USD
275,1024-1,Animals,1985,516,32,0.0000,0.0000,0.0000,0,USD
276,10241-1,Maersk Line Triple-E,2014,673,1518,424.0582,299.0000,947.2012,36,USD
277,10242-1,MINI Cooper,2014,673,1077,223.6287,167.8750,499.9800,145,USD
278,10242-2,MINI Cooper (Late 2015 Re-Issue),2015,673,1077,242.8799,108.8490,473.6006,109,USD
279,10243-1,Parisian Restaurant,2014,155,2470,339.8590,225.6300,947.2012,353,USD
280,10244-1,Fairground Mixer,2014,673,1744,275.0770,161.3663,710.4009,168,USD
281,10245-1,Santa’s Workshop,2014,227,884,230.1530,155.5085,592.0008,113,USD
282,1024601-1,Adventurers Value Pack (TRU Exclusive),2001,297,1,0.0000,0.0000,0.0000,0,USD
283,10246-1,Detective’s Office,2015,155,2262,438.3917,302.1750,1065.6014,192,USD
284,10247-1,Ferris Wheel,2015,673,2464,439.4550,303.5901,710.4009,144,USD
285,10248-1,Ferrari F40,2015,673,1158,347.2002,212.0021,640.2969,84,USD
286,10249-1,Winter Toy Shop,2015,227,898,183.6576,140.0000,590.8168,110,USD
287,10250-1,Year Of The Snake,2013,206,243,141.6469,95.4797,235.6163,13,USD
288,1025-1,Figures and Furniture,1985,516,35,0.0000,0.0000,0.0000,0,USD
289,10251-1,Brick Bank,2016,155,2384,501.1953,375.0000,935.2428,110,USD
290,10252-1,Volkswagen Beetle,2016,673,1167,149.2653,68.1209,663.0409,1227,USD
291,10253-1,Big Ben,2016,673,4167,462.4066,268.0000,1155.5855,77,USD
292,10254-1,Winter Holiday Train,2016,673,735,163.9392,101.8450,590.8168,799,USD
293,10255-1,Assembly Square,2017,155,4002,389.1741,238.1776,710.4009,308,USD
294,10256-1,Taj Mahal,2017,673,5923,490.5363,309.8691,2368.0031,161,USD
295,10257-1,Carousel,2017,673,2669,394.5652,272.3204,710.3417,175,USD
296,10258-1,London Bus,2017,673,1686,160.4112,75.8578,296.0004,486,USD
297,10259-1,Winter Village Station,2017,227,902,157.3925,114.7649,311.4246,323,USD
298,10260-1,Downtown Diner,2018,155,2480,260.3388,162.5072,592.0008,375,USD
299,1026-1,Playhouse Boxes,1985,516,2,0.0000,0.0000,0.0000,0,USD
300,10261-1,Roller Coaster,2018,673,4124,469.1997,291.0662,977.5351,206,USD
301,10262-1,James Bond Aston Martin DB5,2018,673,1297,202.1786,129.3011,465.4190,551,USD
302,10263-1,Winter Village Fire Station,2018,227,1166,121.5375,69.0569,238.6992,1230,USD
303,10264-1,Corner Garage,2019,155,2569,267.2054,174.6887,592.0008,185,USD
304,10265-1,Ford Mustang,2019,673,1471,182.8374,105.4748,600.0000,761,USD
305,10266-1,NASA Apollo 11 Lunar Lander,2019,673,1087,155.8092,85.0000,500.0000,505,USD
306,10267-1,Gingerbread House,2019,673,1477,140.1967,72.9488,300.0000,884,USD
307,10268-1,Vestas Wind Turbine,2018,673,834,214.8766,147.9015,306.6446,420,USD
