,set_num,name,year,theme_id,num_parts,price_mean,price_min,price_max,set_qty,currency
227,10196-1,Grand Carousel,2009,673,3261,1244.6728,700.0000,2199.9900,26,USD
228,10197-1,Fire Brigade,2009,155,2236,478.9899,355.1962,850.0000,17,USD
229,10198-1,Tantive IV,2009,171,1408,277.6830,159.8383,494.9245,30,USD
230,10199-1,Winter Toy Shop,2009,227,815,127.9286,89.6641,223.7736,12,USD
231,10-2,Universal Building Set,1976,469,129,33.6281,29.5997,36.4700,3,USD
232,10200-1,Custom Car Garage,2008,397,893,91.3245,91.3245,91.3245,1,USD
233,1020-1,Basic Bricks,1985,516,86,0.0000,0.0000,0.0000,0,USD
234,10201-1,Takutanuva,2003,347,1,132.6182,132.6182,132.6182,1,USD
235,10202-1,Ultimate Dume (Limited Edition with Exclusive Mask Of Power),2004,347,3,0.0000,0.0000,0.0000,0,USD
236,10202-2,Ultimate Dume,2004,347,0,100.0000,100.0000,100.0000,1,USD
237,10203-1,Voporak,2005,347,0,136.2371,127.7383,149.3540,4,USD
238,10204-1,Vezon & Kardas,2006,347,0,352.5447,248.6373,408.9968,3,USD
239,10205-1,Locomotive,2002,238,234,145.4165,102.0168,235.6135,14,USD
240,102-1,4.5V Motor Set,1968,243,24,57.2932,47.3595,67.4873,5,USD
241,10210-1,Imperial Flagship,2010,153,1667,740.7536,695.0000,806.9771,4,USD
242,1021-1,Basic Vehicles,1985,516,93,0.0000,0.0000,0.0000,0,USD
243,10211-1,Grand Emporium,2010,155,2186,427.7258,292.1869,828.7911,11,USD
244,10212-1,Imperial Shuttle,2010,171,2503,592.2182,529.9900,709.2084,8,USD
245,10213-1,Shuttle Adventure,2010,673,1203,322.6643,260.0000,398.9166,5,USD
246,10213sup-1,Supplemental Pack for Shuttle Adventure Set 10213,2010,443,29,0.0000,0.0000,0.0000,0,USD
247,10214-1,Tower Bridge,2010,673,4295,245.0953,159.3746,591.9937,19,USD
248,10215-1,Obi-Wan's Jedi Starfighter,2010,171,676,186.3902,117.2147,235.6135,9,USD
249,10216-1,Winter Village Bakery,2010,227,687,218.9995,185.0000,261.0692,10,USD
250,10217-1,Diagon Alley,2011,246,2031,428.2627,371.8742,509.1146,10,USD
251,10218-1,Pet Shop,2011,155,2034,261.0662,179.3282,591.9937,15,USD
252,10219-1,Maersk Container Train,2011,673,1233,423.1416,285.0000,709.2084,6,USD
253,10220-1,Volkswagen T1 Camper Van,2011,673,1333,147.3468,76.9592,1000.0000,49,USD
254,1022-1,Mini Basic Bricks,1985,516,30,0.0000,0.0000,0.0000,0,USD
255,10221-1,Super Star Destroyer,2011,171,3151,829.6287,736.8000,979.1589,8,USD
256,10222-1,Winter Village Post Office,2011,227,821,275.9251,224.5060,310.0000,7,USD
257,10223-1,Kingdoms Joust,2012,196,1575,196.1965,189.4380,200.0000,4,USD
258,10224-1,Town Hall,2012,155,2772,799.1767,532.7943,1124.7880,4,USD
259,10225-1,R2-D2,2012,171,2126,338.0579,239.0620,471.4469,16,USD
260,10226-1,Sopwith Camel,2012,673,879,147.1373,106.5470,201.2186,10,USD
261,10227-1,B-wing Starfighter,2012,171,1487,375.8043,329.9496,466.0885,7,USD
262,10228-1,Haunted House,2012,558,2063,416.7352,318.7493,530.4726,9,USD
263,10229-1,Winter Village Cottage,2012,227,1491,296.3177,247.3371,356.2500,7,USD
264,102-3,Super Value Set,1969,411,102,0.0000,0.0000,0.0000,0,USD
265,10230-1,Mini Modulars,2012,156,1356,127.5216,106.5589,158.6543,9,USD
266,1023-1,Red Baseplate,1985,516,1,0.0000,0.0000,0.0000,0,USD
267,10231-1,Shuttle Expedition,2011,673,1230,344.0404,285.5133,435.1817,4,USD
268,10232-1,Palace Cinema,2013,155,2194,296.1374,200.0000,828.7911,18,USD
269,10233-1,Horizon Express,2013,673,1351,312.0521,250.0000,532.7943,5,USD
270,10234-1,Sydney Opera House,2013,673,2989,301.3508,210.0000,608.8298,19,USD
271,10235-1,Winter Village Market,2013,227,1261,209.6243,140.0000,331.5165,10,USD
272,10236-1,Ewok Village,2013,171,1990,427.1564,331.5454,887.9905,11,USD
273,10237-1,The Tower of Orthanc,2013,566,2362,247.7375,177.5981,299.9900,3,USD
274,10240-1,Red Five X-Wing Starfighter,2013,171,1558,349.7966,292.1869,439.0009,6,USD
275,1024-1,Animals,1985,516,32,0.0000,0.0000,0.0000,0,USD
276,10241-1,Maersk Line Triple-E,2014,673,1518,261.9064,229.0000,294.8128,2,USD
277,10242-1,MINI Cooper,2014,673,1077,142.8715,106.2498,189.3788,11,USD
278,10242-2,MINI Cooper (Late 2015 Re-Issue),2015,673,1077,119.3563,119.3563,119.3563,1,USD
279,10243-1,Parisian Restaurant,2014,155,2470,268.1501,212.4995,591.9937,24,USD
280,10244-1,Fairground Mixer,2014,673,1744,191.0241,129.0275,225.0000,9,USD
281,10245-1,Santa’s Workshop,2014,227,884,157.9967,122.5761,176.4141,3,USD
282,1024601-1,Adventurers Value Pack (TRU Exclusive),2001,297,1,0.0000,0.0000,0.0000,0,USD
283,10246-1,Detective’s Office,2015,155,2262,334.4908,246.5763,591.9937,16,USD
284,10247-1,Ferris Wheel,2015,673,2464,305.9319,260.4772,339.9900,15,USD
285,10248-1,Ferrari F40,2015,673,1158,200.5889,135.4358,344.7940,16,USD
286,10249-1,Winter Toy Shop,2015,227,898,134.9376,123.6083,142.0666,6,USD
287,10250-1,Year Of The Snake,2013,206,243,73.9700,72.9400,75.0000,2,USD
288,1025-1,Figures and Furniture,1985,516,35,0.0000,0.0000,0.0000,0,USD
289,10251-1,Brick Bank,2016,155,2384,378.3326,291.4084,420.3155,6,USD
290,10252-1,Volkswagen Beetle,2016,673,1167,103.1769,63.6477,159.9900,16,USD
291,10253-1,Big Ben,2016,673,4167,305.7875,274.3821,355.0778,5,USD
292,10254-1,Winter Holiday Train,2016,673,735,89.6641,89.6641,89.6641,1,USD
293,10255-1,Assembly Square,2017,155,4002,391.5074,295.9968,591.9937,7,USD
294,10256-1,Taj Mahal,2017,673,5923,325.0745,252.3432,428.5098,3,USD
295,10257-1,Carousel,2017,673,2669,311.2478,239.0620,350.0000,4,USD
296,10258-1,London Bus,2017,673,1686,114.3031,88.7991,141.9601,9,USD
297,10259-1,Winter Village Station,2017,227,902,153.1312,89.6641,236.7975,4,USD
298,10260-1,Downtown Diner,2018,155,2480,274.2516,198.9272,532.7943,5,USD
299,1026-1,Playhouse Boxes,1985,516,2,0.0000,0.0000,0.0000,0,USD
300,10261-1,Roller Coaster,2018,673,4124,366.2785,292.1869,470.0000,9,USD
301,10262-1,James Bond Aston Martin DB5,2018,673,1297,154.7560,118.2803,248.0000,6,USD
302,10263-1,Winter Village Fire Station,2018,227,1166,85.1408,76.9592,89.6641,3,USD
303,10264-1,Corner Garage,2019,155,2569,297.7493,195.3579,400.1406,2,USD
304,10265-1,Ford Mustang,2019,673,1471,54.6309,0.7253,260.4500,7,USD
305,10266-1,NASA Apollo 11 Lunar Lander,2019,673,1087,94.9753,75.0000,130.2386,3,USD
306,10267-1,Gingerbread House,2019,673,1477,111.6268,88.7991,130.1794,5,USD
307,10268-1,Vestas Wind Turbine,2018,673,834,159.8332,147.9882,171.6782,2,USD
308,10269-1,Harley-Davidson Fat Boy,2019,673,1023,79.9464,70.9208,86.4311,3,USD
309,10270-1,Bookshop,2020,155,2504,300.0000,300.0000,300.0000,1,USD
